"id";"region_name";"region_name_kz"
"1";"Акмолинская область";"Ақмола облысы"
"2";"Актюбинская область";"Ақтөбе облысы"
"3";"Алматинская область";"Алматы облысы"
"4";"Атырауская область";"Атырау облысы"
"5";"Восточно-Казахстанская область";"Шығыс-Қазақстан облысы "
"6";"Жамбылская область";"Жамбыл облысы"
"7";"Западно-Казахстанская область";"Батыс-Қазақстан облысы"
"8";"Карагандинская область";"Қарағанды облысы"
"9";"Костанайская область";"Қостанай облысы"
"10";"Кызылординская область";"Қызылорда облысы"
"11";"Мангистауская область";"Маңғыстау облысы"
"12";"Павлодарская область";"Павлодар облысы"
"13";"Северо-Казахстанская область";"Солтүстік-Қазақстан облысы"
"14";"Туркестанская область";"Түркістан облысы"
"15";"Шымкент";"Шымкент қаласы"
"16";"Алматы";"Алматы қаласы"
"17";"Нур-Султан";"Нұр-Сұлтан қаласы"
